id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
104,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,,Iron and Steel,72071130,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
105,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,,Iron and Steel,72071190,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
106,"Other, of rectangular (other than square) cross-section",,Iron and Steel,720712,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
107,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : ELECTRICAL QUALITY",,Iron and Steel,72071210,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
108,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : FORGING QUALITY",,Iron and Steel,72071220,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
109,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : SEAMLESS STEEL TUBE QUALITY",,Iron and Steel,72071230,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
110,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : OTHER",,Iron and Steel,72071290,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
111,Other,,Iron and Steel,720719,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
112,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER :FORGED BLANKS OF NON-ALLOY STEEL,,Iron and Steel,72071910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
113,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER :MILD STEEL BILLETS,,Iron and Steel,72071920,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
114,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER : OTHER,,Iron and Steel,72071990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
115,Containing by weight 0.20% or more of carbon,,Iron and Steel,720720,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
116,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT 0.25% OR MORE OF CARBON : FORGING QUALITY,,Iron and Steel,72072010,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
